C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrIssues.cs(37,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrBooks.cs(187,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrBooks.cs(187,4): error CS0012: The type 'IPrintHeaderFooter' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrBooks.cs(188,4): error CS0012: The type 'IStringSvgImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrBooks.cs(188,4): error CS0012: The type 'IStringImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrBooks.cs(188,4): error CS0012: The type 'IControlRowSource' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Data.Desktop.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(98,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(100,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(100,4): error CS0012: The type 'IPrintHeaderFooter' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(101,4): error CS0012: The type 'IStringSvgImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(101,4): error CS0012: The type 'IStringImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(101,4): error CS0012: The type 'IControlRowSource' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Data.Desktop.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(157,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(159,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(159,4): error CS0012: The type 'IPrintHeaderFooter' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(160,4): error CS0012: The type 'IStringSvgImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(160,4): error CS0012: The type 'IStringImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrCategories.cs(160,4): error CS0012: The type 'IControlRowSource' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Data.Desktop.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(98,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(100,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(100,4): error CS0012: The type 'IPrintHeaderFooter' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(101,4): error CS0012: The type 'IStringSvgImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(101,4): error CS0012: The type 'IStringImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(101,4): error CS0012: The type 'IControlRowSource' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Data.Desktop.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(157,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(159,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(159,4): error CS0012: The type 'IPrintHeaderFooter' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(160,4): error CS0012: The type 'IStringSvgImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(160,4): error CS0012: The type 'IStringImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrLocation.cs(160,4): error CS0012: The type 'IControlRowSource' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Data.Desktop.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrReturns.cs(47,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrReturns.cs(47,4): error CS0012: The type 'IPrintHeaderFooter' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrReturns.cs(48,4): error CS0012: The type 'IStringSvgImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrReturns.cs(48,4): error CS0012: The type 'IStringImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrReturns.cs(48,4): error CS0012: The type 'IControlRowSource' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Data.Desktop.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrReturns.cs(66,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrReturns.cs(66,4): error CS0012: The type 'IPrintHeaderFooter' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrReturns.cs(67,4): error CS0012: The type 'IStringSvgImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrReturns.cs(67,4): error CS0012: The type 'IStringImageProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Drawing.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.NavigationForms\usrReturns.cs(67,4): error CS0012: The type 'IControlRowSource' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Data.Desktop.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.DialogForms\AddCategory.cs(172,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.DialogForms\AddCategory.cs(194,40): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.DialogForms\AddCategory.cs(201,40): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.DialogForms\AddCategory.cs(208,38): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.DialogForms\AddCategory.cs(263,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.DialogForms\AddLocations.cs(172,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.DialogForms\AddLocations.cs(194,40): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.DialogForms\AddLocations.cs(201,40): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.DialogForms\AddLocations.cs(208,38): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.DialogForms\AddLocations.cs(263,4): error CS0012: The type 'IBasePrintable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Printing.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement\BooksImport.cs(125,4): error CS0104: 'DataTable' is an ambiguous reference between 'System.Data.DataTable' and 'Microsoft.Office.Interop.Excel.DataTable' [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement\BooksImport.cs(125,30): error CS0104: 'DataTable' is an ambiguous reference between 'System.Data.DataTable' and 'Microsoft.Office.Interop.Excel.DataTable' [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement\PayFine.cs(308,4): error CS0012: The type 'IDxHtmlDesignerDataProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Data.Desktop.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement\PayFine.cs(533,4): error CS0012: The type 'IDxHtmlDesignerDataProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Data.Desktop.v23.2, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\LibraryManagement\LibraryManagement.csproj]
