C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(239,4): error CS0012: The type 'ICoreReference' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(242,4): error CS0012: The type 'IAxisData' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(242,4): error CS0012: The type 'IAxisElementContainer' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(242,4): error CS0012: The type 'IIntervalLayoutKey' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(242,4): error CS0012: The type 'ILogarithmic' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(242,4): error CS0012: The type 'ICrosshairAxis' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(242,4): error CS0012: The type 'IPatternHolder' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(242,4): error CS0012: The type 'IResolveLabelsOverlappingAxis' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(242,4): error CS0012: The type 'IIntervalContainer' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(242,4): error CS0012: The type 'ISupportVisibilityControlElement' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(242,4): error CS0012: The type 'IAutoScaleBreaksContainer' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(243,4): error CS0012: The type 'ISeriesDataAdapter' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(243,4): error CS0012: The type 'IPointsFilterOptions' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(243,4): error CS0012: The type 'ILegendItem' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(243,4): error CS0012: The type 'ISeries' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(243,4): error CS0012: The type 'ISeriesBase' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(243,4): error CS0012: The type 'ISeriesPointFactory' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(243,4): error CS0012: The type 'IResamplingSupportSeries' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(243,4): error CS0012: The type 'ISeriesBindingProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(243,4): error CS0012: The type 'IBindingProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(243,4): error CS0012: The type 'IUpdateHelper' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(243,4): error CS0012: The type 'IViewportChangedNotifiable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(244,4): error CS0012: The type 'IPatternHolder' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(244,4): error CS0012: The type 'IXYSeriesView' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(244,4): error CS0012: The type 'ISeriesView' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(244,4): error CS0012: The type 'IBarSeriesView' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(244,4): error CS0012: The type 'IStackedView' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(245,4): error CS0012: The type 'ISeriesDataAdapter' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(245,4): error CS0012: The type 'IPointsFilterOptions' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(245,4): error CS0012: The type 'ILegendItem' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(245,4): error CS0012: The type 'ISeries' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(245,4): error CS0012: The type 'ISeriesBase' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(245,4): error CS0012: The type 'ISeriesPointFactory' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(245,4): error CS0012: The type 'IResamplingSupportSeries' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(245,4): error CS0012: The type 'ISeriesBindingProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(245,4): error CS0012: The type 'IBindingProvider' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(245,4): error CS0012: The type 'IUpdateHelper' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(245,4): error CS0012: The type 'IViewportChangedNotifiable' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(246,4): error CS0012: The type 'IPatternHolder' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(246,4): error CS0012: The type 'IXYSeriesView' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(246,4): error CS0012: The type 'ISeriesView' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(246,4): error CS0012: The type 'IGeometryStripCreator' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(246,4): error CS0012: The type 'IGeometryHolder' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(247,4): error CS0012: The type 'IPatternHolder' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(247,4): error CS0012: The type 'IXYSeriesView' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(247,4): error CS0012: The type 'ISeriesView' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(247,4): error CS0012: The type 'IBarSeriesView' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(247,4): error CS0012: The type 'IStackedView' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(579,4): error CS0012: The type 'IZoomablePane' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(579,4): error CS0012: The type 'IPane' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(579,4): error CS0012: The type 'IXYDiagramPane' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
C:\SMD_Source_Recovery\decompiled\IXtreme\I_Xtreme.AcademicExtensiveAnalysis.OLevelAnalysis\OLevelAnalysisSummary.cs(579,4): error CS0012: The type 'ILinearLayoutItem' is defined in an assembly that is not referenced. You must add a reference to assembly 'DevExpress.Charts.v23.2.Core, Version=23.2.5.0, Culture=neutral, PublicKeyToken=b88d1754d700e49a'. [C:\SMD_Source_Recovery\decompiled\IXtreme\IXtreme.csproj]
